Scenario,Model,accuracy,f1,roc_auc,pr_auc
With G1/G2,Logistic Regression,0.9017964071856287,0.9351103883714227,0.9645866594721555,0.9899408780869304
With G1/G2,Decision Tree,0.8910179640718564,0.9304644965434463,0.8329111848195817,0.9154059856688092
With G1/G2,Random Forest,0.9149700598802395,0.9460801827008961,0.9666277404827024,0.9902045068681986
With G1/G2,SVM,0.904191616766467,0.9406520339572382,0.9581800179510103,0.9881724563472354
With G1/G2,XGBoost,0.9029940119760479,0.9380560639358644,0.9655037656564375,0.9906490776731298
Without G1/G2,Logistic Regression,0.7281437125748502,0.8121918787954321,0.7333500323576659,0.8828003714313652
Without G1/G2,Decision Tree,0.7377245508982035,0.8308447734087598,0.6259130328214297,0.8266024571930487
Without G1/G2,Random Forest,0.7880239520958083,0.8727393465197546,0.7269907017998621,0.8868882845043243
Without G1/G2,SVM,0.8155688622754491,0.8909191305199006,0.7466473578687319,0.8897622862557203
Without G1/G2,XGBoost,0.7832335329341318,0.8665333444802833,0.7232424144637886,0.8831014064480426
